"filename", "language", "Solidity", "comment", "blank", "total"
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\interfaces\IBorrowerGateway.sol", "Solidity", 23, 1, 4, 28
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\interfaces\ILenderVault.sol", "Solidity", 49, 1, 13, 63
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\interfaces\ILenderVaultFactory.sol", "Solidity", 5, 1, 4, 10
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\interfaces\IOracle.sol", "Solidity", 7, 1, 3, 11
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\interfaces\IQuoteHandler.sol", "Solidity", 16, 1, 5, 22
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\interfaces\IVaultCallback.sol", "Solidity", 12, 1, 4, 17
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\interfaces\compartments\staking\IStakingHelper.sol", "Solidity", 15, 35, 14, 64
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\interfaces\oracles\IOlympus.sol", "Solidity", 4, 1, 2, 7
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\interfaces\oracles\IUniV2.sol", "Solidity", 7, 1, 5, 13
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\interfaces\oracles\chainlink\AggregatorV3Interface.sol", "Solidity", 28, 1, 6, 35
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\oracles\chainlink\ChainlinkBasic.sol", "Solidity", 134, 12, 9, 155
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\oracles\chainlink\OlympusOracle.sol", "Solidity", 134, 7, 11, 152
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-peer\oracles\chainlink\UniV2Chainlink.sol", "Solidity", 243, 13, 15, 271
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-pool\DataTypes.sol", "Solidity", 26, 1, 4, 31
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-pool\FundingPool.sol", "Solidity", 118, 1, 10, 129
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-pool\LoanProposalFactory.sol", "Solidity", 34, 1, 6, 41
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\peer-to-pool\LoanProposalImpl.sol", "Solidity", 391, 14, 22, 427
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\test\IPAXG.sol", "Solidity", 6, 0, 4, 10
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\test\IUSDC.sol", "Solidity", 10, 1, 6, 17
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\test\IWETH.sol", "Solidity", 5, 1, 4, 10
"c:\Users\Aetienne\Desktop\MYSO\15 repos\v1.2\contracts\test\MyERC20.sol", "Solidity", 19, 1, 7, 27
"Total", "-", 3075, 196, 395, 3666
